,vin,cyclenum,date,end_time,state,odometer,min_soc,max_soc,start_voltage,end_voltage,ah_consumed,temp,month,up_y,low_y,to_be_taken
40,MB7U8CLLTKJL30555,605,2020-12-10,10/12/20 14:55,21,19569,82.1,100,3.36,3.36,24.27,34,Dec-20,33.81513903,13.81513903,TRUE
41,MB7U8CLLTKJL30555,606,2020-12-11,11/12/20 8:41,21,19628,78.1,100,3.36,3.36,29.52,32.8,Dec-20,33.77197155,13.77197155,TRUE
42,MB7U8CLLTKJL30555,608,2020-12-12,12/12/20 8:54,21,19663,85.4,100,3.36,3.36,17.62,28.8,Dec-20,33.74636372,13.74636372,TRUE
43,MB7U8CLLTKJL30555,619,2020-12-16,16/12/20 12:39,21,19961,84.8,100,3.36,3.36,20.68,34.5,Dec-20,33.52833137,13.52833137,TRUE
44,MB7U8CLLTKJL30555,622,2020-12-17,17/12/20 15:11,21,20007,84.5,100,3.36,3.37,20.45,32.5,Dec-20,33.49467537,13.49467537,TRUE
45,MB7U8CLLTKJL30555,624,2020-12-18,18/12/20 9:30,21,20079,81.6,100,3.36,3.37,25.29,33.7,Dec-20,33.44199641,13.44199641,TRUE
46,MB7U8CLLTKJL30555,648,2020-12-26,26/12/20 9:21,21,20708,88.2,100,3.36,3.37,15.15,29.4,Dec-20,32.98178718,12.98178718,TRUE
47,MB7U8CLLTKJL30555,652,2020-12-27,27/12/20 8:21,21,20805,82.9,100,3.36,3.38,25.54,33.2,Dec-20,32.91081692,12.91081692,TRUE
48,MB7U8CLLTKJL30555,662,2020-12-30,30/12/20 8:41,21,21105,83.5,100,3.36,3.37,21.38,31.8,Dec-20,32.69132126,12.69132126,TRUE
49,MB7U8CLLTKJL30555,666,2020-12-31,31/12/20 14:04,21,21213,83.7,100,3.36,3.38,22.37,36.6,Dec-20,32.61230282,12.61230282,TRUE
50,MB7U8CLLTKJL30555,670,2021-01-02,02/01/21 9:25,21,21348,81.1,100,3.36,3.36,24.59,29.2,Jan-21,32.51352978,12.51352978,TRUE
51,MB7U8CLLTKJL30555,671,2021-01-02,02/01/21 14:37,21,21385,84.5,100,3.36,3.37,21.24,35.7,Jan-21,32.48645865,12.48645865,TRUE
52,MB7U8CLLTKJL30555,672,2021-01-03,03/01/21 8:37,21,21414,78.9,100,3.36,3.37,26.92,29,Jan-21,32.46524073,12.46524073,TRUE
53,MB7U8CLLTKJL30555,673,2021-01-03,03/01/21 14:55,21,21433,88.2,100,3.36,3.37,15.06,32.9,Jan-21,32.45133934,12.45133934,TRUE
54,MB7U8CLLTKJL30555,677,2021-01-05,05/01/21 7:29,21,21520,76.2,100,3.36,3.37,32.19,30.5,Jan-21,32.3876856,12.3876856,TRUE
55,MB7U8CLLTKJL30555,679,2021-01-05,05/01/21 14:11,21,21561,86,100,3.36,3.36,19.53,36.5,Jan-21,32.35768786,12.35768786,TRUE
56,MB7U8CLLTKJL30555,680,2021-01-06,06/01/21 8:30,21,21609,81.7,100,3.36,3.37,23.29,32.5,Jan-21,32.32256856,12.32256856,TRUE
57,MB7U8CLLTKJL30555,681,2021-01-06,06/01/21 13:30,21,21631,85.5,100,3.36,3.37,18.67,34.9,Jan-21,32.30647221,12.30647221,TRUE
58,MB7U8CLLTKJL30555,693,2021-01-12,13/01/21 7:25,21,22016,72.2,100,3.36,3.37,28.1,37.2,Jan-21,32.02478611,12.02478611,TRUE
59,MB7U8CLLTKJL30555,701,2021-01-17,17/01/21 10:23,21,22284,78.5,100,3.36,3.36,26.72,34.1,Jan-21,31.82870333,11.82870333,TRUE
60,MB7U8CLLTKJL30555,712,2021-01-22,22/01/21 8:59,21,22613,81.5,100,3.36,3.36,24.75,33,Jan-21,31.58798975,11.58798975,TRUE
61,MB7U8CLLTKJL30555,713,2021-01-22,22/01/21 15:55,21,22670,84.4,100,3.36,3.36,22.28,40.9,Jan-21,31.54628558,11.54628558,TRUE
62,MB7U8CLLTKJL30555,728,2021-01-28,28/01/21 14:46,21,23072,84.5,100,3.36,3.36,18.46,33.5,Jan-21,31.2521614,11.2521614,TRUE
63,MB7U8CLLTKJL30555,735,2021-01-31,31/01/21 9:29,21,23227,80.4,100,3.36,3.36,26.41,33,Jan-21,31.13875531,11.13875531,TRUE
64,MB7U8CLLTKJL30555,740,2021-02-02,02/02/21 14:03,21,23340,86.9,100,3.36,3.36,17.98,36.2,Feb-21,31.05607861,11.05607861,TRUE
65,MB7U8CLLTKJL30555,745,2021-02-03,03/02/21 14:58,21,23454,83.8,100,3.36,3.36,19.53,37.9,Feb-21,30.97267026,10.97267026,TRUE
66,MB7U8CLLTKJL30555,755,2021-02-07,07/02/21 8:44,21,23737,83,100,3.36,3.38,23.45,32.4,Feb-21,30.76561269,10.76561269,TRUE
67,MB7U8CLLTKJL30555,758,2021-02-07,08/02/21 0:10,21,23822,82.8,100,3.36,3.36,25.17,38.7,Feb-21,30.70342225,10.70342225,TRUE
0,MB7U8CLLTKJL30555,4,2021-02-09,09/02/21 12:47,21,23905,86.3,100,3.36,3.37,18.42,33.5,Feb-21,30.64269512,10.64269512,TRUE
1,MB7U8CLLTKJL30555,6,2021-02-10,10/02/21 8:52,21,23974,80.2,100,3.36,3.36,24.6,31.5,Feb-21,30.59221112,10.59221112,TRUE
2,MB7U8CLLTKJL30555,9,2021-02-11,11/02/21 8:14,21,24078,80.6,100,3.36,3.37,24.27,32.4,Feb-21,30.51611929,10.51611929,TRUE
3,MB7U8CLLTKJL30555,15,2021-02-12,12/02/21 7:39,21,24224,82.2,100,3.36,3.36,20.13,34.8,Feb-21,30.40929807,10.40929807,TRUE
4,MB7U8CLLTKJL30555,19,2021-02-13,13/02/21 14:16,21,24373,85.8,100,3.36,3.37,23.47,38.9,Feb-21,30.30028189,10.30028189,TRUE
5,MB7U8CLLTKJL30555,30,2021-02-17,17/02/21 14:04,21,24765,86.8,100,3.36,3.36,22.48,41.9,Feb-21,30.01347423,10.01347423,TRUE
6,MB7U8CLLTKJL30555,43,2021-02-22,22/02/21 7:08,21,25189,83.9,100,3.36,3.38,21.33,31,Feb-21,29.70325371,9.703253705,TRUE
9,MB7U8CLLTKJL30555,61,2021-02-28,28/02/21 8:40,21,25756,90.1,100,3.36,3.37,15.62,34.7,Feb-21,29.28840691,9.288406912,TRUE
11,MB7U8CLLTKJL30555,75,2021-03-05,05/03/21 8:49,21,26156,89.8,100,3.36,3.37,15.18,32.6,Mar-21,28.99574603,8.995746034,TRUE
12,MB7U8CLLTKJL30555,78,2021-03-06,06/03/21 7:15,21,26267,91.5,100,3.36,3.36,11.57,32.6,Mar-21,28.91453264,8.914532641,TRUE
15,MB7U8CLLTKJL30555,89,2021-03-09,09/03/21 8:48,21,26558,93.9,100,3.36,3.36,10.5,32.6,Mar-21,28.70162185,8.701621853,TRUE
16,MB7U8CLLTKJL30555,91,2021-03-10,10/03/21 6:25,21,26668,93.8,100,3.36,3.37,11.22,35.2,Mar-21,28.62114011,8.621140112,TRUE
17,MB7U8CLLTKJL30555,95,2021-03-11,11/03/21 8:42,21,26771,85,100,3.36,3.36,19.53,38.7,Mar-21,28.54577994,8.545779936,TRUE
18,MB7U8CLLTKJL30555,97,2021-03-12,12/03/21 7:56,21,26874,84.7,100,3.36,3.36,21.29,38.2,Mar-21,28.47041976,8.47041976,TRUE
20,MB7U8CLLTKJL30555,101,2021-03-13,13/03/21 13:10,21,27009,90.1,100,3.36,3.37,12.99,37.4,Mar-21,28.37164671,8.371646714,TRUE
22,MB7U8CLLTKJL30555,110,2021-03-15,15/03/21 8:54,21,27219,86,100,3.36,3.36,23.19,41.6,Mar-21,28.21799975,8.217999753,TRUE
23,MB7U8CLLTKJL30555,112,2021-03-15,15/03/21 14:56,21,27264,88.9,100,3.36,3.37,15.71,41.7,Mar-21,28.1850754,8.185075405,TRUE
24,MB7U8CLLTKJL30555,128,2021-03-19,19/03/21 23:46,21,27730,88,100,3.36,3.37,15.5,39.1,Mar-21,27.84412548,7.844125483,TRUE
28,MB7U8CLLTKJL30555,155,2021-03-28,28/03/21 7:12,21,28468,93.8,100,3.36,3.36,11.25,36.3,Mar-21,27.30416616,7.304166164,TRUE
34,MB7U8CLLTKJL30555,200,2021-04-11,11/04/21 1:26,21,29728,89.6,100,3.36,3.36,15.86,42,Apr-21,26.3822844,6.382284401,TRUE
35,MB7U8CLLTKJL30555,209,2021-04-14,14/04/21 9:35,21,30008,90.1,100,3.36,3.37,19.07,41.7,Apr-21,26.17742179,6.177421787,TRUE
37,MB7U8CLLTKJL30555,220,2021-04-18,18/04/21 7:54,21,30295,84.5,100,3.36,3.36,21.96,40.4,Apr-21,25.96743761,5.967437608,TRUE
39,MB7U8CLLTKJL30555,256,2021-05-04,04/05/21 5:59,21,31240,84.3,100,3.36,3.36,17.98,39.3,May-21,25.27602629,5.276026285,TRUE
7,MB7U8CLLTKJL30555,47,2021-06-11,11/06/21 7:21,21,32659,85.4,100,3.36,3.37,18.74,33.9,Jun-21,24.23781182,4.237811823,TRUE
21,MB7U8CLLTKJL30555,108,2021-07-01,01/07/21 11:16,21,34161,91.5,100,3.36,3.36,11.51,35.2,Jul-21,23.13887023,3.138870229,TRUE